"","geneSymbol","UniProtID","refSeqID","length"
"8244","TBC1D28","Q2M2D7","NM_001039397",210
"8245","ODF4","Q2M2E3","",257
"8246","C5orf64","Q2M2E5","NM_173667",130
"8247","FAM83E","Q2M2I3","NM_017708",478
"8248","KRT24","Q2M2I5","NM_019016",525
"8249","AAK1","Q2M2I8","NM_014911",961
"8250","C17orf58","Q2M2W7","NM_181656",97
"8251","KIZ","Q2M2Z5","NM_018474",673
"8252","CCDC96","Q2M329","NM_153376",555
"8253","MPEG1","Q2M385","NM_001039396",716
"8254","KIAA1033","Q2M389","NM_015275",1173
"8255","MRGPRG-AS1","Q2M3A8","NR_027138",158
"8256","C15orf27","Q2M3C6","NM_152335",531
"8257","SPHKAP","Q2M3C7","NM_030623",1700
"8258","EXOC3L2","Q2M3D2","NM_138568",409
"8259","ABCB5","Q2M3G0","NM_178559",812
"8260","SHROOM1","Q2M3G4","NM_133456",852
"8261","SLC5A9","Q2M3M2","XM_117174",681
"8262","SLC35G1","Q2M3R5","NM_153226",365
"8263","HYAL4","Q2M3T9","NM_012269",481
"8264","SOWAHA","Q2M3V2","NM_175873",549
"8265","ZNF181","Q2M3W8","NM_001029997",571
"8266","ZNF674","Q2M3X9","NM_001039891",581
"8267","RGS21","Q2M5E4","",152
"8268","SPRED3","Q2MJR0","XM_351191",410
"8269","RSPO1","Q2MKA7","NM_173640",263
"8270","TCTN1","Q2MV58","NM_024549",587
"8271","CTC1","Q2NKJ3","NM_025099",1217
"8272","SGSM1","Q2NKQ1","XM_059318",1148
"8273","ERCC6L","Q2NKX8","NM_017669",1250
"8274","C2orf68","Q2NKX9","NM_001013649",166
"8275","PARP6","Q2NL67","NM_020214",630
"8276","PROSER3","Q2NL68","NM_144692",480
"8277","TSR1","Q2NL82","NM_018128",804
"8278","VMAC","Q2NL98","NM_001017921",169
"8279","RALGAPA2","Q2PPJ7","NM_020343",1873
"8280","DPY19L1","Q2PZI1","",675
"8281","TRIM71","Q2Q1W2","NM_001039111",868
"8282","RPEL1","Q2QD12","NM_001143909",228
"8283","ZXDC","Q2QGD7","NM_025112",858
"8284","MPV17L","Q2QL34","NM_173803",196
"8285","INTS4L2","Q2T9F4","NR_027392",439
"8286","TYSND1","Q2T9J0","NM_173555",566
"8287","TMEM44","Q2T9K0","NM_138399",475
"8288","C15orf59","Q2T9L4","NM_001039614",293
"8289","IAH1","Q2TAA2","NM_001039613",248
"8290","ALG11","Q2TAA5","NM_001004127",492
"8291","TSNAXIP1","Q2TAA8","NM_018430",658
"8292","CCDC57","Q2TAC2","NM_198082",916
"8293","KIF19","Q2TAC6","NM_153209",998
"8294","MUM1","Q2TAK8","NM_032853",710
"8295","SMTNL2","Q2TAL5","NM_198501",461
"8296","VWC2","Q2TAL6","NM_198570",325
"8297","QRICH1","Q2TAL8","NM_017730",776
"8298","TUSC1","Q2TAM9","NM_001004125",212
"8299","GOLGA7B","Q2TAP0","NM_001010917",167
"8300","SMU1","Q2TAY7","NM_018225",513
"8301","ATG2A","Q2TAZ0","NM_015104",1938
"8302","ZNF800","Q2TB10","NM_176814",664
"8303","ASTE1","Q2TB18","NM_014065",679
"8304","HKDC1","Q2TB90","NM_025130",917
"8305","KLHL40","Q2TBA0","NM_152393",621
"8306","PRICKLE4","Q2TBC4","NM_013397",344
"8307","CWF19L2","Q2TBE0","NM_152434",894
"8308","WSCD2","Q2TBF2","NM_014653",565
"8309","MST1L","Q2TV78","NM_001271733",715
"8310","COL28A1","Q2UY09","NM_001037763",1125
"8311","FHOD3","Q2V2M9","XM_371114",1422
"8312","KIF4B","Q2VIQ3","",1234
"8313","CR1L","Q2VPA4","XM_114735",569
"8314","AP5B1","Q2VPB7","NM_138368",878
"8315","LRRC75B","Q2VPJ9","NM_207644",315
"8316","CTU2","Q2VPK5","NM_001012762",515
"8317","SKOR2","Q2VWA4","NM_001037802",1001
"8318","PRTG","Q2VWP7","NM_173814",1150
"8319","ZNF284","Q2VY69","NM_001037813",593
"8320","LETM2","Q2VYF4","NM_144652",491
"8321","CEACAM16","Q2WEN9","XM_371177",425
"8322","KLHL38","Q2WGJ6","",581
"8323","TMEM249","Q2WGJ8","NM_001252402",235
"8324","FER1L6","Q2WGJ9","NM_001039112",1857
"8325","GAB4","Q2WGN9","XM_372882",574
"8326","SLC4A8","Q2Y0W8","NM_004858",1093
"8327","UVSSA","Q2YD98","NM_020894",709
"8328","HLA-DRB5","Q30154","NM_002125",266
"8329","HFE","Q30201","",348
"8330","TRIM16L","Q309B1","NM_001037330",348
"8331","DEFB136","Q30KP8","NM_001033018",78
"8332","DEFB135","Q30KP9","NM_001033017",77
"8333","DEFB133","Q30KQ1","NM_001166478",61
"8334","DEFB130","Q30KQ2","NM_001037804",79
"8335","DEFB116","Q30KQ4","NM_001037731",102
"8336","DEFB115","Q30KQ5","NM_001037730",88
"8337","DEFB114","Q30KQ6","NM_001037499",69
"8338","DEFB113","Q30KQ7","",82
"8339","DEFB112","Q30KQ8","NM_001037498",113
"8340","DEFB110","Q30KQ9","NM_001037728",67
"8341","DEFB109P1","Q30KR1","NR_024044",87
"8342","DEFB109P1B","Q30KR1","",87
"8343","ANO4","Q32M45","NM_178826",955
"8344","ZNF699","Q32M78","NM_198535",642
"8345","BTBD16","Q32M84","NM_144587",506
"8346","ATHL1","Q32M88","NM_025092",737
"8347","C15orf32","Q32M92","NM_153040",178
"8348","FAM214A","Q32MH5","NM_019600",1076
"8349","MYLK3","Q32MK0","NM_182493",819
"8350","ZNF750","Q32MQ0","NM_024702",723
"8351","LRRFIP1","Q32MZ4","NM_004735",808
"8352","PGS1","Q32NB8","NM_024419",556
"8353","C18orf21","Q32NC0","NM_031446",220
"8354","LEPRE1","Q32P28","NM_022356",736
"8355","TRMT5","Q32P41","NM_02081",509
"8356","EML3","Q32P44","NM_153265",896
"8357","HNRNPA1L2","Q32P51","NM_001011724",320
"8358","C12orf74","Q32Q52","NM_001037671",190
"8359","NDUFAF6","Q330K2","NM_152416",333
"8360","RFX4","Q33E94","NM_032491",735
"8361","LRRK1","Q38SD2","NM_024652",2015
"8362","TWISTNB","Q3B726","",338
"8363","CNPY1","Q3B7I2","XM_001129537",92
"8364","GFOD2","Q3B7J2","NM_030819",385
"8365","SMIM21","Q3B7S5","NM_001037331",101
"8366","EDRF1","Q3B7T1","NM_015608",1238
"8367","BEAN1","Q3B7T3","NM_001136106",259
"8368","FAM161A","Q3B820","NM_032180",660
"8369","LGALS9B","Q3B8N2","NM_001042685",356
"8370","PROX2","Q3B8N5","",592
"8371","NBPF1","Q3BBV0","NM_017940",1214
"8372","NBPF20","Q3BBV1","",942
"8373","NBPF8","Q3BBV2","",869
"8374","NBPF9","Q3BBW0","NM_001037675",867
"8375","MS4A18","Q3C1V0","XM_001715696",323
"8376","C11orf91","Q3C1V1","XM_001717207",193
"8377","BSX","Q3C1V8","NM_001098169",233
"8378","ACOT6","Q3I5F7","NM_001037162",207
"8379","PTCHD3","Q3KNS1","XM_370541",767
"8380","ZNF829","Q3KNS6","NM_001037232",432
"8381","NSUN5P1","Q3KNT7","NR_033322",163
"8382","TMEM95","Q3KNT9","NM_198154",176
"8383","PCGF3","Q3KNV8","NM_006315",242
"8384","SNAI3","Q3KNW1","",292
"8385","SLC10A6","Q3KNW5","NM_197965",377
"8386","C11orf85","Q3KP22","NM_001037225",216
"8387","ZNF791","Q3KP31","NM_153358",576
"8388","ANKRD55","Q3KP44","NM_024669",614
"8389","C1orf106","Q3KP66","NM_018265",663
"8390","CEACAM21","Q3KPI0","NM_033543",293
"8391","MAP7D1","Q3KQU3","NM_018067",841
"8392","ZNF792","Q3KQV3","NM_175872",632
"8393","UAP1L1","Q3KQV9","XM_038063",507
"8394","SLC25A35","Q3KQZ1","NM_201520",300
"8395","PLEKHG6","Q3KR16","NM_018173",790
"8396","GRAMD1B","Q3KR37","XM_370660",738
"8397","C2orf76","Q3KRA6","NM_001017927",126
"8398","ALKBH6","Q3KRA9","NM_032878",238
"8399","ARHGAP11B","Q3KRB8","NM_001039841",267
"8400","CHD9","Q3L8U1","NM_025134",2897
"8401","USP41","Q3LFD5","XM_036729",358
"8402","KRTAP25-1","Q3LHN0","NM_001128598",102
"8403","KRTAP21-3","Q3LHN1","XM_002343741",58
"8404","KRTAP19-2","Q3LHN2","",52
"8405","KRTAP19-8","Q3LI54","NM_001099219",63
"8406","KRTAP21-1","Q3LI58","",79
"8407","KRTAP21-2","Q3LI59","",83
"8408","KRTAP20-3","Q3LI60","NM_001128077",44
"8409","KRTAP20-2","Q3LI61","",65
"8410","KRTAP20-4","Q3LI62","NR_023342",44
"8411","KRTAP20-1","Q3LI63","",56
"8412","KRTAP6-1","Q3LI64","NM_181602",71
"8413","KRTAP6-2","Q3LI66","",62
"8414","KRTAP6-3","Q3LI67","NM_181605",103
"8415","KRTAP22-2","Q3LI68","XM_002343740",45
"8416","KRTAP19-6","Q3LI70","",58
"8417","KRTAP19-5","Q3LI72","",72
"8418","KRTAP19-4","Q3LI73","",84
"8419","KRTAP15-1","Q3LI76","",137
"8420","KRTAP13-4","Q3LI77","",160
"8421","KRTAP27-1","Q3LI81","NM_001077711",207
"8422","KRTAP24-1","Q3LI83","NM_001085455",254
"8423","ADPRM","Q3LIE5","NM_020233",342
"8424","DAK","Q3LXA3","NM_015533",575
"8425","LSM12","Q3MHD2","NM_152344",195
"8426","TBC1D25","Q3MII6","NM_002536",688
"8427","RGL3","Q3MIN7","XM_290867",710
"8428","ITPRIPL2","Q3MIP1","NM_001034841",535
"8429","TMEM30B","Q3MIR4","XM_090844",351
"8430","ZNF528","Q3MIS6","NM_032423",628
"8431","PUS10","Q3MIT2","NM_144709",529
"8432","KRTAP22-1","Q3MIV0","",48
"8433","DPCR1","Q3MIW9","NM_080870",517
"8434","ADCK5","Q3MIX3","NM_174922",580
"8435","WDR72","Q3MJ13","NM_182758",1102
"8436","PLA2G4E","Q3MJ16","NM_198442",856
"8437","CCDC144B","Q3MJ40","NM_182568",725
"8438","ZSCAN23","Q3MJ62","XM_167147",389
"8439","PIGY","Q3MUY2","NM_032906",71
"8440","ODF3L2","Q3SX64","NM_182577",289
"8441","DCAF4L1","Q3SXM0","NM_001029955",396
"8442","HSDL1","Q3SXM5","NM_031463",330
"8443","KIAA1644","Q3SXP7","NM_001099294",199
"8444","C3orf36","Q3SXR2","NM_025041",165
"8445","LRIT3","Q3SXY7","NM_198506",679
"8446","ARL13B","Q3SXY8","NM_182896",428
"8447","ZNF718","Q3SXZ3","NM_001039127",478
"8448","TTLL9","Q3SXZ7","NM_001008409",439
"8449","TSGA10IP","Q3SY00","NM_152762",556
"8450","LINC00303","Q3SY05","NR_027902",128
"8451","SLC25A52","Q3SY17","XM_084000",297
"8452","KRTAP13-3","Q3SY46","",172
"8453","ZIK1","Q3SY52","NM_001010879",487
"8454","SP6","Q3SY56","NM_199262",376
"8455","ALDH1L2","Q3SY69","XM_090294",923
"8456","UGT3A2","Q3SY77","NM_174914",523
"8457","KRT71","Q3SY84","NM_033448",523
"8458","TCEB3CL","Q3SY89","XM_001132059",546
"8459","POM121L1P","Q3SYA9","NR_024591",428
"8460","FOXD4L6","Q3SYB3","NM_001085476",417
"8461","MOGAT2","Q3SYC2","NM_025098",334
"8462","KRTAP19-7","Q3SYF9","",63
"8463","BBS9","Q3SYG4","",887
"8464","GON4L","Q3T8J9","NM_032292",2241
"8465","GNPTAB","Q3T906","",1256
"8466","MGAT5B","Q3V5L5","NM_144677",792
"8467","CCDC88A","Q3V6T2","NM_017571",1871
"8468","TMEM176B","Q3YBM2","NM_014020",270
"8469","TBRG1","Q3YBR2","NM_032811",411
"8470","RABL6","Q3YEC7","NM_024718",729
"8471","VMA21","Q3ZAQ7","NM_001017980",101
"8472","TUBB8","Q3ZCM7","NM_177987",444
"8473","OTOGL","Q3ZCN5","NM_173591",2332
"8474","ANXA2R","Q3ZCQ2","NM_001014279",193
"8475","FAM174B","Q3ZCQ3","NM_207446",159
"8476","TIMM50","Q3ZCQ8","NM_001001563",353
"8477","ZNF260","Q3ZCT1","NM_001012756",412
"8478","KBTBD12","Q3ZCT8","NM_207335",623
"8479","C1orf177","Q3ZCV2","NM_152607",418
"8480","LGALSL","Q3ZCW2","NM_014181",172
"8481","ZNF568","Q3ZCX4","NM_198539",644
"8482","SUPT20HL1","Q3ZLR7","NM_001136234",823
"8483","AMZ1","Q400G9","NM_133463",498
"8484","ZACN","Q401N2","NM_180990",412
"8485","PARP15","Q460N3","NM_152615",678
"8486","PARP14","Q460N5","NM_017554",1801
"8487","FBXL19-AS1","Q494R0","NR_024348",122
"8488","CCDC153","Q494R4","NM_001033658",210
"8489","PLEKHN1","Q494U1","NM_032129",663
"8490","CCDC37","Q494V2","NM_182628",611
"8491","CHRFAM7A","Q494W8","NM_148911",412
"8492","FAM153C","Q494X1","NM_001079527",144
"8493","ZNF404","Q494X3","NM_001033719",552
"8494","TIGIT","Q495A1","NM_173799",244
"8495","ANKDD1A","Q495B1","NM_182703",522
"8496","RNF212","Q495C1","NM_194439",297
"8497","C12orf36","Q495D7","NM_182558",138
"8498","SLC36A2","Q495M3","",483
"8499","USH1G","Q495M9","NM_173477",461
"8500","SLC36A3","Q495N2","NM_181774",470
"8501","MMEL1","Q495T6","NM_033467",779
"8502","FUT11","Q495W5","NM_173540",492
"8503","TRIM60","Q495X7","NM_152620",471
"8504","SPDYE7P","Q495Y7","NR_003666",208
"8505","SPDYE2","Q495Y8","NM_001031618",402
"8506","ASB16-AS1","Q495Z4","NR_049729",193
"8507","SPATS1","Q496A3","NM_145026",300
"8508","CD300E","Q496F6","NM_181449",205
"8509","NRN1L","Q496H8","NM_198443",165
"8510","SV2C","Q496J9","",727
"8511","PLK5","Q496M5","NR_026557",336
"8512","LONRF3","Q496Y0","NM_024778",759
"8513","SLFNL1","Q499Z3","NM_144990",407
"8514","ZNF672","Q499Z4","NM_024836",452
"8515","GALNTL6","Q49A17","NM_001034845",601
"8516","GLYR1","Q49A26","NM_032569",553
"8517","ZNF876P","Q49A33","NR_027481",203
"8518","CCDC14","Q49A88","NM_022757",953
"8519","C8orf34","Q49A92","NM_052958",452
"8520","ZFP69","Q49AA0","NM_198494",526
"8521","ZBED5","Q49AG3","NM_021211",693
"8522","CDNF","Q49AH0","NM_001029954",187
"8523","FAM135B","Q49AJ0","NM_015912",1406
"8524","MTERF2","Q49AM1","NM_025198",385
"8525","TTC31","Q49AM3","NM_022492",519
"8526","CRY2","Q49AN0","NM_021117",593
"8527","C5orf22","Q49AR2","NM_018356",442
"8528","LRRC37A5P","Q49AS3","NR_034087",106
"8529","COX19","Q49B96","NM_001031617",90
"8530","MAP9","Q49MG5","NM_001039580",647
"8531","CERKL","Q49MI3","",558
"8532","GPR33","Q49SQ1","NM_001197184",333
"8533","C2CD3","Q4AC94","NM_015531",2353
"8534","ACCSL","Q4AC99","NM_001031854",568
"8535","RIC1","Q4ADV7","XM_039698",1423
"8536","GTDC1","Q4AE62","NM_024659",458
"8537","SUV420H1","Q4FZB7","NM_017635",885
"8538","FAM188B","Q4G0A6","NM_032222",757
"8539","VPS26B","Q4G0F5","NM_052875",336
"8540","H1FX-AS1","Q4G0G2","NR_026991",97
"8541","SCGB2B2","Q4G0G5","NM_001025591",96
"8542","C16orf91","Q4G0I0","NM_001010878",132
"8543","LARP7","Q4G0J3","NM_016648",582
"8544","FAM132B","Q4G0M1","XM_001127207",354
"8545","GGTA1P","Q4G0N0","NR_003191",100
"8546","NADK2","Q4G0N4","NM_153013",442
"8547","FAM229B","Q4G0N7","NM_001033564",80
"8548","SLC9C1","Q4G0N8","NM_183061",1177
"8549","HYDIN","Q4G0P3","",5121
"8550","CYP27C1","Q4G0S4","NM_001001665",372
"8551","CCDC152","Q4G0S7","XM_001717416",254
"8552","DUSP28","Q4G0W2","NM_001033575",176
"8553","KCTD21","Q4G0X4","NM_001029859",260
"8554","CCDC40","Q4G0X9","XM_371082",1142
"8555","MCMDC2","Q4G0Z9","NM_173518",681
"8556","HSF5","Q4G112","XM_064190",596
"8557","GXYLT1","Q4G148","XM_290597",440
"8558","FBXO43","Q4G163","XM_209918",708
"8559","ACSF3","Q4G176","NM_174917",576
"8560","GLIPR1L2","Q4G1C9","NM_152436",344
"8561","PREPL","Q4J6C6","NM_006036",727
"8562","PTPN20B","Q4JDL3","NM_015605",420
"8563","PTPN20A","Q4JDL3","",420
"8564","CDON","Q4KMG0","NM_016952",1287
"8565","TMEM52B","Q4KMG9","NM_153022",183
"8566","TBC1D10B","Q4KMP7","NM_015527",808
"8567","TPRN","Q4KMQ1","NM_173691",711
"8568","ANO6","Q4KMQ2","XM_113743",910
"8569","FAM106A","Q4KMX7","NR_026809",169
"8570","IQCC","Q4KMZ1","NM_018134",466
"8571","NKAIN1","Q4KMZ8","NM_024522",207
"8572","C20orf62","Q4KN68","",170
"8573","PLCH1","Q4KWH8","NM_014996",1693
"8574","FILIP1L","Q4L180","NM_014890",1135
"8575","AASDH","Q4L235","NM_181806",1098
"8576","SVEP1","Q4LDE5","",3571
"8577","DNAL1","Q4LDG9","NM_031427",190
"8578","CTXN3","Q4LDR2","XM_932841",81
"8579","ARID4B","Q4LE39","NM_016374",1312
"8580","AARD","Q4LEZ3","NM_001025357",155
"8581","DEFB134","Q4QY38","NM_001033019",66
"8582","MRPL51","Q4U2R6","NM_016497",128
"8583","SLC22A6","Q4U2R8","NM_004790",563
"8584","ANKRD20A4","Q4UJ75","NM_001098805",823
"8585","GAGE13","Q4V321","",117
"8586","GAGE2E","Q4V326","NM_001127200",116
"8587","GRIPAP1","Q4V328","NM_207672",841
"8588","CBWD6","Q4V339","XM_928822",395
"8589","ZNF658B","Q4V348","NM_001032297",819
"8590","TMEM119","Q4V9L6","NM_181724",283
"8591","BCL7A","Q4VC05","",210
"8592","MSS51","Q4VC12","NM_178451",460
"8593","CCDC58","Q4VC31","NM_001017928",144
"8594","HIGD2B","Q4VC39","NM_001017925",106
"8595","FLYWCH1","Q4VC44","NM_032296",716
"8596","AMOT","Q4VCS5","NM_133265",1084
"8597","ATP13A5","Q4VNC0","NM_198505",1218
"8598","ATP13A4","Q4VNC1","NM_032279",1196
"8599","C6orf99","Q4VX62","NM_001195032",202
"8600","SPATA31A4","Q4VX67","NM_001242613",1347
"8601","SYTL3","Q4VX76","",610
"8602","KHDC1","Q4VXA5","NM_030568",237
"8603","FAM74A3","Q4VXF1","NR_026801",159
"8604","PABPC1L","Q4VXU2","",614
"8605","C14orf28","Q4W4Y0","NM_001017923",310
"8606","TIGD2","Q4W5G0","NM_145715",525
"8607","ABCA11P","Q4W5N1","NR_002451.2",156
"8608","TMEM155","Q4W5P6","NM_152399",130
"8609","GREB1","Q4ZG55","NM_014668",1949
"8610","FNDC1","Q4ZHG4","NM_032532",1894
"8611","TMEM259","Q4ZIN3","NM_033420",620
"8612","SLC9B1","Q4ZJI4","NM_139173",515
"8613","VWA3B","Q502W6","NM_144992",1294
"8614","CCDC38","Q502W7","NM_182496",563
"8615","MORN2","Q502X0","NM_194270",79
"8616","PAN2","Q504Q3","NM_014871",1202
"8617","MIDN","Q504T8","",468
"8618","C4orf46","Q504U0","NM_001008393",113
"8619","SLC39A12","Q504Y0","NM_152725",691
"8620","PKDCC","Q504Y2","",493
"8621","ZCWPW2","Q504Y3","XM_087384",356
"8622","LRRC24","Q50LG9","NM_001024678",513
"8623","LIN52","Q52LA3","",116
"8624","ATP6AP1L","Q52LC2","NM_001017971",224
"8625","RFTN2","Q52LD8","NM_144629",501
"8626","KRTAP13-2","Q52LG2","",175
"8627","FAM98B","Q52LJ0","NM_173611",330
"8628","EPC2","Q52LR7","NM_015630",807
"8629","ARHGAP29","Q52LW3","NM_004815",1261
"8630","C14orf177","Q52M58","NM_182560",125
"8631","C5orf27","Q52M75","NM_175616",96
"8632","ZNF585B","Q52M93","NM_152279",769
"8633","CCDC184","Q52MB2","NM_001013635",194
"8634","SBK1","Q52WX2","XM_370948",424
"8635","SPATA45","Q537H7","NM_001024601",98
"8636","LUZP6","Q538Z0","NM_001128619",58
"8637","PDCD4","Q53EL6","NM_014456",469
"8638","SEZ6","Q53EL9","",994
"8639","FNDC3B","Q53EP0","NM_022763",1204
"8640","TIGD5","Q53EQ6","NM_032862",642
"8641","CRTC2","Q53ET0","NM_181715",693
"8642","AGPAT9","Q53EU6","NM_032717",434
"8643","LRRC23","Q53EV4","NM_006992",343
"8644","CEP55","Q53EZ4","NM_018131",464
"8645","C17orf85","Q53F19","NM_018553",620
"8646","MPPE1","Q53F39","NM_023075",396
"8647","TP53I3","Q53FA7","NM_004881",332
"8648","ZC2HC1C","Q53FD0","NM_001042430",456
"8649","C4orf17","Q53FE4","NM_032149",359
"8650","TMEM35","Q53FP2","NM_021637",167
"8651","C11orf73","Q53FT3","NM_016401",197
"8652","ORMDL2","Q53FV1","NM_014182",153
"8653","ACSM3","Q53FZ2","NM_005622",586
"8654","IFI44L","Q53G44","NM_006820",452
"8655","KLHL12","Q53G59","NM_021633",568
"8656","PHLDA2","Q53GA4","NM_003311",152
"8657","SLC44A4","Q53GD3","",710
"8658","PDLIM3","Q53GG5","NM_014476",364
"8659","ZNF394","Q53GI3","NM_032164",561
"8660","PLEKHO1","Q53GL0","NM_016274",409
"8661","PARP10","Q53GL7","NM_032789",1025
"8662","HSD17B12","Q53GQ0","",312
"8663","GLE1","Q53GS7","NM_001003722",698
"8664","USP39","Q53GS9","NM_006590",565
"8665","KLHL22","Q53GT1","NM_032775",634
"8666","AGK","Q53H12","NM_018238",422
"8667","SETMAR","Q53H47","NM_006515",684
"8668","TRMT12","Q53H54","NM_017956",448
"8669","LINC00483","Q53H64","",154
"8670","PLA1A","Q53H76","",456
"8671","AKIRIN2","Q53H80","NM_018064",203
"8672","LACTB2","Q53H82","NM_016027",288
"8673","PYCRL","Q53H96","NM_023078",274
"8674","CCDC92","Q53HC0","NM_025140",331
"8675","KLHL26","Q53HC5","NM_018316",615
"8676","TSSC1","Q53HC9","NM_003310",387
"8677","UNC50","Q53HI1","NM_014044",259
"8678","CDCA8","Q53HL2","NM_018101",280
"8679","SMUG1","Q53HV7","NM_014311",270
"8680","SOWAHC","Q53LP3","NM_023016",525
"8681","LBH","Q53QV2","NM_030915",105
"8682","C2orf57","Q53QW1","NM_152614",395
"8683","ARHGAP15","Q53QZ3","NM_018460",475
"8684","TM4SF20","Q53R12","NM_024795",229
"8685","FASTKD1","Q53R41","NM_024622",847
"8686","FBLN7","Q53RD9","NM_153214",439
"8687","ANKRD39","Q53RE8","NM_016466",183
"8688","ASPRV1","Q53RT3","NM_152792",343
"8689","KRTCAP3","Q53RY4","NM_173853",240
"8690","BOLA3","Q53S33","NM_212552",107
"8691","TMEM177","Q53S58","NM_030577",311
"8692","C2orf83","Q53S99","NM_020161",150
"8693","COBLL1","Q53SF7","NM_014900",1204
"8694","PRR30","Q53SZ7","NM_178553",412
"8695","HS1BP3","Q53T59","NM_022460",392
"8696","TAF1B","Q53T94","NM_005680",588
"8697","CYBRD1","Q53TN4","NM_024843",286
"8698","INO80D","Q53TQ3","NM_017759",878
"8699","ALS2CR11","Q53TS8","NM_152525",623
"8700","WDR81","Q562E7","NM_152348",1941
"8701","SGOL2","Q562F6","NM_152524",1265
"8702","ACTBL2","Q562R1","NM_001017992",376
"8703","CCDC93","Q567U6","NM_019044",631
"8704","MPV17L2","Q567V2","NM_032683",206
"8705","C5orf47","Q569G3","NM_001144954",176
"8706","PRR16","Q569H4","NM_016644",304
"8707","ZNF385B","Q569K4","NM_152520",471
"8708","CCDC157","Q569K6","NM_001017437",752
"8709","SPIN4","Q56A73","NM_001012968",249
"8710","ESCO2","Q56NI9","NM_001017420",601
"8711","EAPP","Q56P03","NM_018453",285
"8712","PYDC2","Q56P42","NM_001083308",97
"8713","MAP3K19","Q56UN5","NM_025052",1328
"8714","OCIAD2","Q56VL3","NM_152398",154
"8715","C2orf27A","Q580R0","NM_013310",203
"8716","C2orf27B","Q580R0","NM_214461",203
"8717","SFT2D3","Q587I9","NM_032740",215
"8718","TDRD12","Q587J7","NM_001015890",1177
"8719","KHDC3L","Q587J8","NM_001017361",217
"8720","C1QTNF9B-AS1","Q58A44","",107
"8721","PAN3","Q58A45","NM_175854",887
"8722","NAALADL2","Q58DX5","NM_207015",795
"8723","SDK2","Q58EX2","NM_019064",2172
"8724","PLEKHG4","Q58EX7","NM_015432",1191
"8725","BRDT","Q58F21","NM_207189",947
"8726","HSP90B2P","Q58FF3","",399
"8727","HSP90AB4P","Q58FF6","NR_002927",505
"8728","HSP90AB3P","Q58FF7","NG_003015",597
"8729","HSP90AB2P","Q58FF8","",381
"8730","HSP90AA5P","Q58FG0","",334
"8731","HSP90AA4P","Q58FG1","NG_003014",418
"8732","SYT14P1","Q58G82","NM_001014372",188
"8733","AWAT1","Q58HT5","NM_001013579",328
"8734","DCAF6","Q58WW2","NM_018442",860
"8735","RUNDC3A","Q59EK9","NM_006695",446
"8736","RPL39P5","Q59GN2","NG_010827",51
"8737","TNNI3K","Q59H18","NM_015978",835
"8738","SPRN","Q5BIV9","NM_001012508",151
"8739","TMEM41B","Q5BJD5","",291
"8740","CCDC178","Q5BJE1","NM_198995",867
"8741","TMEM97","Q5BJF2","NM_014573",176
"8742","ODF2","Q5BJF6","",829
"8743","TMEM128","Q5BJH2","NM_032927",165
"8744","YIF1B","Q5BJH7","NM_033557",314
"8745","ALG10","Q5BKT4","NM_032834",473
"8746","OXLD1","Q5BKU9","NM_001039842",147
"8747","C19orf54","Q5BKX5","NM_198476",351
"8748","SLC45A4","Q5BKX6","XM_050325",768
"8749","MURC","Q5BKX8","NM_001018116",364
"8750","LRRC10","Q5BKY1","NM_201550",277
"8751","FAM133B","Q5BKY9","NM_001040057",247
"8752","ZNF326","Q5BKZ1","NM_181781",582
"8753","C4orf48","Q5BLP8","NM_001141936",95
"8754","C9orf116","Q5BN46","NM_144654",136
"8755","C3orf52","Q5BVD1","NM_024616",217
"8756","NOM1","Q5C9Z4","NM_138400",860
"8757","ANKRD20A8P","Q5CZ79","",823
"8758","ZNF805","Q5CZA5","NM_001023563",627
"8759","FSIP2","Q5CZC0","NM_173651",6907
"8760","DALRD3","Q5D0E6","NM_018114",543
"8761","ZC3H12A","Q5D1E8","NM_025079",599
"8762","FLG2","Q5D862","NM_001014342",2391
"8763","UMODL1","Q5DID0","",1318
"8764","CT45A2","Q5DJT8","NM_152582",189
"8765","SPINK9","Q5DT21","NM_001040433",86
"8766","IGSF11","Q5DX21","",431
"8767","MEST","Q5EB52","NM_002402",335
"8768","ZNF628","Q5EBL2","XM_058964",1059
"8769","RILPL1","Q5EBL4","NM_178314",403
"8770","PDZD11","Q5EBL8","NM_016484",140
"8771","CMPK2","Q5EBM0","NM_207315",449
"8772","ZNF542P","Q5EBM4","",170
"8773","TRIM61","Q5EBN2","XM_373038",209
"8774","CENPW","Q5EE01","",88
"8775","CARD16","Q5EG05","",197
"8776","DNAJC21","Q5F1R6","NM_194283",531
"8777","SGOL1","Q5FBB7","NM_138484",561
"8778","ACSBG2","Q5FVE4","NM_030924",666
"8779","PRRT3","Q5FWE3","NM_207351",981
"8780","ZRANB3","Q5FWF4","NM_032143",1079
"8781","ESCO1","Q5FWF5","NM_052911",840
"8782","ZNF789","Q5FWF6","NM_213603",425
"8783","FBXO48","Q5FWF7","NM_001024680",155
"8784","ARSH","Q5FYA8","NM_001011719",562
"8785","ARSJ","Q5FYB0","NM_024590",599
"8786","ARSI","Q5FYB1","NM_001012301",569
"8787","RNASE13","Q5GAN3","",156
"8788","RNASE12","Q5GAN4","",147
"8789","RNASE10","Q5GAN6","XM_292225",216
"8790","VWA2","Q5GFL6","NM_198496",755
