"","geneSymbol","mRNA_medvals"
"ESYT1","ESYT1",3007.6995
"PAN2","PAN2",476.8875
"PLEKHG6","PLEKHG6",3.5461
"WIF1","WIF1",6.43915
"CAND1","CAND1",2538.149
"LPAR5","LPAR5",37.4241
"MDM1","MDM1",239.4573
"NUP107","NUP107",785.3679
"BEST3","BEST3",0.59355
"PTPRR","PTPRR",15.26095
"TSPAN8","TSPAN8",8.7296
"LGR5","LGR5",6.8891
"ZFC3H1","ZFC3H1",540.7895
"TRHDE","TRHDE",1.39565
"GLIPR1","GLIPR1",502.73635
"CD163L1","CD163L1",44.334
"NAP1L1","NAP1L1",5501.6716
"NAV3","NAV3",45.6592
"CLEC4C","CLEC4C",0.3577
"SYT1","SYT1",6.8559
"LIN7A","LIN7A",2.3852
"ACSS3","ACSS3",18.437
"LRRIQ1","LRRIQ1",6.481
"C12ORF50","C12ORF50",0
"TMTC3","TMTC3",779.2086
"A2ML1","A2ML1",3.0395
"EPYC","EPYC",2.35365
"EEA1","EEA1",825.55835
"TMCC3","TMCC3",282.5852
"C12ORF55","C12ORF55",0.0865
"GAS2L3","GAS2L3",67.1776
"ITGBL1","ITGBL1",178.625
"FAM155A","FAM155A",6.49785
"SPACA7","SPACA7",0
"UPF3A","UPF3A",475.39865
"TUBA3C","TUBA3C",0.02945
"TNFRSF19","TNFRSF19",208.7972
"PARP4","PARP4",1656.3355
"RNF17","RNF17",0
"MTMR6","MTMR6",838.1201
"CDK8","CDK8",188.3164
"FLT1","FLT1",718.0316
"SLC46A3","SLC46A3",137.4954
"USPL1","USPL1",362.7478
"TEX26","TEX26",0
"FRY","FRY",229.6309
"STARD13","STARD13",293.9832
"CCNA1","CCNA1",3.4428
"SERTM1","SERTM1",1.3215
"TRPC4","TRPC4",4.7202
"PROSER1","PROSER1",859.7268
"KBTBD6","KBTBD6",344.5707
"VWA8","VWA8",401.3998
"ENOX1","ENOX1",31.8352
"COG3","COG3",735.2464
"SIAH3","SIAH3",0.7556
"RCBTB2","RCBTB2",322.8746
"THSD1","THSD1",45.0915
"VPS36","VPS36",699.4298
"CKAP2","CKAP2",641.0256
"OLFM4","OLFM4",1.79
"PCDH17","PCDH17",144.2346
"TDRD3","TDRD3",301.3141
"TBC1D4","TBC1D4",493.8854
"LMO7","LMO7",849.5031
"MYCBP2","MYCBP2",1339.33395
"SLAIN1","SLAIN1",109.526
"ABCC4","ABCC4",299.0506
"IPO5","IPO5",2940.60135
"DLK1","DLK1",0.3531
"CDC42BPB","CDC42BPB",2897.5889
"PLD4","PLD4",28.031
"BRF1","BRF1",565.23045
"OR4N2","OR4N2",0
"OR4K2","OR4K2",0
"OR4K5","OR4K5",0
"OR4K1","OR4K1",0
"OR4K14","OR4K14",0
"OR4L1","OR4L1",0
"OR4K17","OR4K17",0
"OR11G2","OR11G2",0
"OR11H6","OR11H6",0
"OR6S1","OR6S1",0
"METTL17","METTL17",461.5531
"RBM23","RBM23",1240.4664
"DCAF11","DCAF11",1454.5719
"NFATC4","NFATC4",279.5325
"NOVA1","NOVA1",14.1479
"AKAP6","AKAP6",101.51325
"NPAS3","NPAS3",12.2283
"FAM179B","FAM179B",327.9319
"POLE2","POLE2",70.82565
"ATP5S","ATP5S",88.1301
"TRIM9","TRIM9",56.9112
"NID2","NID2",364.4138
"WDHD1","WDHD1",293.8315
"DLGAP5","DLGAP5",517.152
"NAA30","NAA30",518.2946
"ARID4A","ARID4A",334.4958
"PPM1A","PPM1A",1247.6281
"C14ORF39","C14ORF39",0.0266
"SLC38A6","SLC38A6",127.982
"KCNH5","KCNH5",0
"ZBTB25","ZBTB25",96.1239
"PPP1R36","PPP1R36",5.8936
"SLC8A3","SLC8A3",0.4798
"ADAM21","ADAM21",3.185
"RGS6","RGS6",0.9058
"DCAF4","DCAF4",204.33865
"ZFYVE1","ZFYVE1",529.8577
"PAPLN","PAPLN",191.6071
"ACOT2","ACOT2",221.3141
"ZNF410","ZNF410",1025.26595
"GPATCH2L","GPATCH2L",157.2292
"ANGEL1","ANGEL1",501.34605
"ISM2","ISM2",0.90445
"NRXN3","NRXN3",28.779
"CEP128","CEP128",86.13445
"STON2","STON2",75.046
"KCNK10","KCNK10",1.08925
"PTPN21","PTPN21",278.48655
"ZC3H14","ZC3H14",1067.0649
"FOXN3","FOXN3",1018.2648
"KCNK13","KCNK13",22.81255
"CATSPERB","CATSPERB",1.1573
"LGMN","LGMN",2507.75005
"CHGA","CHGA",2.6209
"UNC79","UNC79",3.49765
"PRIMA1","PRIMA1",59.0347
"PPP4R4","PPP4R4",7.93705
"SERPINA4","SERPINA4",0
"ATG2B","ATG2B",694.92085
"HHIPL1","HHIPL1",36.6719
"EML1","EML1",282.9269
"SLC25A47","SLC25A47",0.0962
"TUBGCP5","TUBGCP5",415.1303
"CYFIP1","CYFIP1",2994.7125
"NPAP1","NPAP1",0
"CHRFAM7A","CHRFAM7A",11.9344
"OTUD7A","OTUD7A",6.5789
"FSIP1","FSIP1",4.0459
"GPR176","GPR176",117.3986
"PAK6","PAK6",107.9303
"KNSTRN","KNSTRN",406.2529
"RPUSD2","RPUSD2",162.4072
"INO80","INO80",739.7986
"PLA2G4D","PLA2G4D",0.6388
"VPS39","VPS39",1789.8452
"ZSCAN29","ZSCAN29",368.6636
"TP53BP1","TP53BP1",1086.5174
"MAP1A","MAP1A",244.117
"PDIA3","PDIA3",9997.6464
"DUOX1","DUOX1",50.9138
"SPATA5L1","SPATA5L1",185.77865
"SEMA6D","SEMA6D",50.7229
"SECISBP2L","SECISBP2L",1054.1338
"ATP8B4","ATP8B4",44.2965
"SLC27A2","SLC27A2",29.3031
"DMXL2","DMXL2",559.3297
"MYO5C","MYO5C",189.95235
"PYGO1","PYGO1",4.7202
"PRTG","PRTG",28.1474
"NEDD4","NEDD4",354.0644
"ZNF280D","ZNF280D",504.74225
"CGNL1","CGNL1",146.20735
"ADAM10","ADAM10",1973.4327
"TRIP4","TRIP4",494.6711
"IGDCC4","IGDCC4",59.5299
"IQCH","IQCH",27.2829
"CORO2B","CORO2B",54.7026
"UACA","UACA",973.4949
"SENP8","SENP8",57.3163
"CELF6","CELF6",30.585
"TMEM202","TMEM202",0
"CD276","CD276",2077.0106
"CCDC33","CCDC33",0.0114
"CSK","CSK",1367.72765
"SIN3A","SIN3A",1625.4574
"WDR61","WDR61",748.71605
"RASGRF1","RASGRF1",24.3926
"TMED3","TMED3",2278.9075
"CEMIP","CEMIP",369.3184
"FAM154B","FAM154B",7.99285
"C15ORF40","C15ORF40",150.5108
"SH3GL3","SH3GL3",0.7832
"ADAMTSL3","ADAMTSL3",40.2385
"ALPK3","ALPK3",114.2963
"SLC28A1","SLC28A1",0.6382
"PDE8A","PDE8A",460.0984
"TICRR","TICRR",202.45015
"ANPEP","ANPEP",454.3537
"IQGAP1","IQGAP1",6610.4079
"SV2B","SV2B",21.0591
"SLCO3A1","SLCO3A1",342.7864
"SPATA8","SPATA8",0
"LINS","LINS",213.2196
"ASB7","ASB7",396.3625
"NUBP1","NUBP1",351.99035
"C1QTNF8","C1QTNF8",0
"ZC3H7A","ZC3H7A",963.1814
"PDXDC1","PDXDC1",2828.8879
"NOMO2","NOMO2",1621.8107
"TMC7","TMC7",28.9974
"ITPRIPL2","ITPRIPL2",1189.8069
"TMC5","TMC5",5.3771
"IQCK","IQCK",116.8548
"GPRC5B","GPRC5B",362.73215
"GP2","GP2",0
"ACSM2A","ACSM2A",0
"ACSM2B","ACSM2B",0
"ACSM1","ACSM1",0.0882
"DNAH3","DNAH3",1.41625
"CASKIN1","CASKIN1",4.3347
"CDR2","CDR2",569.4853
"USP31","USP31",430.60385
"ERN2","ERN2",1.22915
"CCNF","CCNF",403.8728
"GTF3C1","GTF3C1",2227.2637
"SRRM2","SRRM2",9510.1146
"PRSS21","PRSS21",5.08355
"RABEP2","RABEP2",455.364
"MVP","MVP",5678.2063
"SEZ6L2","SEZ6L2",785.95095
"IL32","IL32",979.6864
"SETD1A","SETD1A",942.83685
"ARMC5","ARMC5",262.6541
"ZNF267","ZNF267",359.0064
"ZNF263","ZNF263",687.0741
"SRL","SRL",5.8865
"MYLK3","MYLK3",8.7496
"GPT2","GPT2",829.55805
"ABCC12","ABCC12",0
"MGRN1","MGRN1",1808.33965
"ZNF500","ZNF500",182.7157
"UBN1","UBN1",1342.0915
"HEATR3","HEATR3",255.15
"ADCY7","ADCY7",469.29865
"PPL","PPL",492.4471
"C16ORF89","C16ORF89",25.4642
"CES5A","CES5A",0
"NLRC5","NLRC5",576.68615
"CPNE2","CPNE2",700.05865
"TEPP","TEPP",0.0311
"NDRG4","NDRG4",43.9189
"GOT2","GOT2",2471.0978
"CDH8","CDH8",2.5238
"CDH11","CDH11",615.6272
"CDH5","CDH5",506.4519
"DYNC1LI2","DYNC1LI2",2358.3138
"GFOD2","GFOD2",513.5747
"VAC14","VAC14",1215.5553
"CMTR2","CMTR2",484.3877
"MARVELD3","MARVELD3",104.1668
"DHX38","DHX38",1332.1431
"ADAT1","ADAT1",221.9959
"ATP2C2","ATP2C2",6.5419
"KLHL36","KLHL36",243.16035
"FOXL1","FOXL1",23.0295
"ZC3H18","ZC3H18",833.17055
"MYH13","MYH13",0.0624
"MYH4","MYH4",0
"MYH1","MYH1",0
"TUSC5","TUSC5",0.8947
"DNAH9","DNAH9",6.9975
"MYOCD","MYOCD",1.7628
"SCARF1","SCARF1",140.61535
"UBB","UBB",16087.85555
"SMYD4","SMYD4",303.4307
"SREBF1","SREBF1",1481.5027
"GID4","GID4",264.09955
"LLGL1","LLGL1",637.7953
"FLII","FLII",3275.0786
"TOP3A","TOP3A",499.4016
"PRPSAP2","PRPSAP2",475.11595
"EPN2","EPN2",1040.5215
"ULK2","ULK2",507.17525
"LGALS9B","LGALS9B",0.3839
"KCNJ12","KCNJ12",22.42615
"MNT","MNT",649.00795
"KIAA0100","KIAA0100",3577.8036
"SUPT6H","SUPT6H",2850.6554
"NUFIP2","NUFIP2",2029.4957
"TAOK1","TAOK1",402.9216
"SSH2","SSH2",601.3544
"CPD","CPD",2894.7682
"RAB11FIP4","RAB11FIP4",649.6992
"OR1A2","OR1A2",0
"SLFN5","SLFN5",486.0168
"OR1A1","OR1A1",0
"SLFN11","SLFN11",442.4514
"SLFN12","SLFN12",99.0128
"HEATR9","HEATR9",0.3962
"OR3A2","OR3A2",0
"LHX1","LHX1",0
"TADA2A","TADA2A",159.83535
"DDX52","DDX52",511.0811
"SOCS7","SOCS7",59.7109
"PLXDC1","PLXDC1",213.1942
"MED1","MED1",1176.6133
"CDK12","CDK12",1291.1421
"GRB7","GRB7",302.90575
"IKZF3","IKZF3",40.72255
"RAPGEFL1","RAPGEFL1",174.359
"TNS4","TNS4",17.17025
"KRT222","KRT222",41.6871
"TMEM99","TMEM99",332.79
"KRT20","KRT20",0
"C17ORF85","C17ORF85",474.6819
"KRT37","KRT37",0
"KRT38","KRT38",0
"KRT35","KRT35",0
"MPP3","MPP3",44.1297
"GPATCH8","GPATCH8",1181.02645
"ANKFY1","ANKFY1",1148.18065
"EFCAB13","EFCAB13",18.1766
"KPNB1","KPNB1",4475.8378
"SP6","SP6",11.7147
"NFE2L1","NFE2L1",7653.3613
"GIP","GIP",0
"ALOX15","ALOX15",3.81985
"NXPH3","NXPH3",18.1406
"MYCBPAP","MYCBPAP",4.9231
"ABCC3","ABCC3",277.38955
"WFIKKN2","WFIKKN2",0.8416
"CA10","CA10",0.2982
"KIF2B","KIF2B",0
"USP6","USP6",35.77245
"ZNF594","ZNF594",122.30745
"SCPEP1","SCPEP1",1207.4724
"CUEDC1","CUEDC1",351.5732
"BZRAP1","BZRAP1",115.05735
"RNF43","RNF43",448.99405
"HSF5","HSF5",1.4722
"PPM1E","PPM1E",10.49045
"BCAS3","BCAS3",466.3604
"EFCAB3","EFCAB3",0.3372
"MRC2","MRC2",1091.736
"KCNH6","KCNH6",0.21545
"DDX42","DDX42",2804.9669
"CSH1","CSH1",0
"SMURF2","SMURF2",467.7824
"CACNG5","CACNG5",0
"BPTF","BPTF",1541.22925
"ABCA8","ABCA8",27.7674
"ABCA6","ABCA6",33.4345
"ABCA10","ABCA10",4.6543
"ABCA5","ABCA5",227.6923
"KCNJ16","KCNJ16",1.7523
"FBXO39","FBXO39",2.5729
"TEKT1","TEKT1",0
"CLEC10A","CLEC10A",24.437
"GPR142","GPR142",0.3423
"CD300A","CD300A",219.5024
"CD300E","CD300E",2.3827
"QRICH2","QRICH2",36.2632
"JMJD6","JMJD6",603.125
"MGAT5B","MGAT5B",9.3064
"ENGASE","ENGASE",395.3067
"CBX4","CBX4",768.6317
"DNAH2","DNAH2",23.8316
"SLC38A10","SLC38A10",2579.72425
"C17ORF70","C17ORF70",855.79615
"DUS1L","DUS1L",1257.6778
"HEXDC","HEXDC",300.83505
"PER1","PER1",915.57935
"ARHGEF15","ARHGEF15",83.1705
"WDR16","WDR16",0.932
"PTPN2","PTPN2",527.5238
"POTEC","POTEC",0
"ANKRD30B","ANKRD30B",0.39
"ROCK1","ROCK1",1174.6286
"TAF4B","TAF4B",171.81285
"DSG3","DSG3",0.8772
"SLC25A52","SLC25A52",6.94455
"GAREM","GAREM",131.9713
"EMILIN2","EMILIN2",427.1957
"CCDC178","CCDC178",0.54475
"MOCOS","MOCOS",125.5489
"FHOD3","FHOD3",135.0482
"TPGS2","TPGS2",1472.0114
"SYT4","SYT4",0
"SLC14A2","SLC14A2",0.8873
"PIAS2","PIAS2",202.9648
"KATNAL2","KATNAL2",27.7963
"CTIF","CTIF",231.05895
"LIPG","LIPG",86.9273
"MAPK4","MAPK4",3.2066
"C18ORF54","C18ORF54",56.68385
"CCDC68","CCDC68",3.7087
"WDR7","WDR7",471.3762
"ST8SIA3","ST8SIA3",0
"ALPK2","ALPK2",24.0887
"ZNF532","ZNF532",991.1612
"KDSR","KDSR",1357.31655
"SERPINB12","SERPINB12",0
"SERPINB3","SERPINB3",0
"SERPINB10","SERPINB10",0
"L3MBTL4","L3MBTL4",35.13495
"CDH7","CDH7",0
"CCDC102B","CCDC102B",57.68425
"NETO1","NETO1",1.9006
"LAMA1","LAMA1",61.0226
"CNDP2","CNDP2",4934.1159
"PPP4R1","PPP4R1",1908.75975
"TSPAN16","TSPAN16",0
"ZNF627","ZNF627",353.8045
"ZNF441","ZNF441",131.7949
"ZNF439","ZNF439",99.97
"ZNF69","ZNF69",21.5643
"ZNF799","ZNF799",107.0525
"HOOK2","HOOK2",572.0223
"EMR2","EMR2",138.85185
"OR7C2","OR7C2",0
"SLC1A6","SLC1A6",0
"CASP14","CASP14",0
"MBD3","MBD3",948.8074
"CYP4F12","CYP4F12",1.7434
"OR10H2","OR10H2",0
"EPS15L1","EPS15L1",850.9559
"NWD1","NWD1",0.8945
"CPAMD8","CPAMD8",24.7937
"PDE4C","PDE4C",5.767
"TMEM59L","TMEM59L",12.9996
"BTBD2","BTBD2",2156.2271
"ZNF90","ZNF90",110.4548
"ZNF626","ZNF626",49.3894
"ZNF430","ZNF430",103.7198
"ZNF708","ZNF708",83.61385
"ZNF208","ZNF208",4.5344
"ZNF257","ZNF257",4.3767
"ZNF98","ZNF98",0.6969
"ZNF99","ZNF99",0
"ZNF681","ZNF681",47.0257
"ZNF254","ZNF254",236.7326
"ZNF556","ZNF556",0.74555
"GNA15","GNA15",140.55375
"S1PR4","S1PR4",34.7744
"ZNF536","ZNF536",0.5898
"TSHZ3","TSHZ3",194.6749
"TJP3","TJP3",17.9286
"ZNF507","ZNF507",500.9685
"ANKRD27","ANKRD27",837.8761
"GPATCH1","GPATCH1",233.449
"NMRK2","NMRK2",0.0366
"CHST8","CHST8",1.4903
"LSM14A","LSM14A",2316.4983
"ZNF599","ZNF599",80.5766
"ZBTB7A","ZBTB7A",791.71755
"MAG","MAG",0.49535
"DMKN","DMKN",78.4117
"ARHGAP33","ARHGAP33",91.0447
"KIRREL2","KIRREL2",3.133
"CREB3L3","CREB3L3",0.4373
"ZNF565","ZNF565",69.4614
"ZFP82","ZFP82",58.9717
"ZNF585A","ZNF585A",98.1535
"ZNF383","ZNF383",65.7731
"ZNF569","ZNF569",90.4507
"FSD1","FSD1",14.5724
"CATSPERG","CATSPERG",7.15935
"CHAF1A","CHAF1A",467.26825
"LGALS4","LGALS4",2.0513
"IFNL2","IFNL2",0
"GMFG","GMFG",376.5937
"PLEKHG2","PLEKHG2",480.1079
"LGALS14","LGALS14",0
"FCGBP","FCGBP",258.63575
"C19ORF47","C19ORF47",266.1538
"SPTBN4","SPTBN4",10.5553
"SNRPA","SNRPA",989.6655
"CYP2A7","CYP2A7",0
"CYP2S1","CYP2S1",73.9348
"HNRNPUL1","HNRNPUL1",5386.65845
"CEACAM5","CEACAM5",0.45565
"CEACAM3","CEACAM3",0.8084
"CIC","CIC",1521.6549
"PSG3","PSG3",0
"PSG6","PSG6",0
"PSG7","PSG7",0
"PSG11","PSG11",0
"PSG5","PSG5",0
"PSG9","PSG9",0
"IRGC","IRGC",0
"ZNF221","ZNF221",10.2273
"ZNF233","ZNF233",13.3627
"ZNF112","ZNF112",84.18665
"ZNF285","ZNF285",25.73525
"ZNF229","ZNF229",64.9413
"CBLC","CBLC",3.32095
"PPP1R13L","PPP1R13L",537.8444
"QPCTL","QPCTL",292.9677
"HIF3A","HIF3A",3.4278
"ZC3H4","ZC3H4",1025.019
"C5AR1","C5AR1",202.41865
"SLC8A2","SLC8A2",1.6632
"EHD2","EHD2",1026.2073
"CABP5","CABP5",0
"PLA2G4C","PLA2G4C",112.3723
"KCNJ14","KCNJ14",29.804
"SULT2B1","SULT2B1",8.28195
"TULP2","TULP2",0.11085
"SLC6A16","SLC6A16",12.79335
"SLC17A7","SLC17A7",7.6241
"ALDH16A1","ALDH16A1",633.0642
"NOSIP","NOSIP",696.0071
"TSKS","TSKS",0.7
"VRK3","VRK3",590.5365
"SIGLEC9","SIGLEC9",56.3433
"SIGLEC8","SIGLEC8",47.2722
"SIGLEC12","SIGLEC12",6.7986
"SIGLEC5","SIGLEC5",18.369
"FPR1","FPR1",105.72715
"FPR3","FPR3",410.2172
"ZNF615","ZNF615",172.872
"ZNF528","ZNF528",172.08
"ZNF578","ZNF578",13.51465
"ZNF765","ZNF765",200.9005
"ZNF331","ZNF331",253.3318
"LILRB3","LILRB3",87.08685
"LILRA6","LILRA6",50.16595
"LILRB2","LILRB2",136.3409
"LILRA1","LILRA1",7.7292
"LILRB1","LILRB1",102.7549
"KIR3DL2","KIR3DL2",1.1824
"FCAR","FCAR",3.03025
"NLRP2","NLRP2",31.85055
"RDH13","RDH13",260.6061
"PTPRH","PTPRH",112.6537
"NLRP9","NLRP9",0.8616
"NLRP11","NLRP11",0.93815
"NLRP4","NLRP4",0.3902
"NLRP13","NLRP13",0
"NLRP8","NLRP8",0
"ZSCAN5B","ZSCAN5B",1.6543
"ZSCAN5A","ZSCAN5A",74.8563
"ZNF71","ZNF71",189.60325
"ZIK1","ZIK1",34.0092
"ZNF256","ZNF256",66.2042
"ZNF329","ZNF329",208.8435
"TNFSF14","TNFSF14",3.14135
"EMR1","EMR1",14.6045
"FBN3","FBN3",0.8217
"MYO1F","MYO1F",319.8169
"OR2Z1","OR2Z1",0
"OR1M1","OR1M1",0
"OR7G2","OR7G2",0
"OR7D4","OR7D4",0
"OR7E24","OR7E24",0
"WDR18","WDR18",587.6901
"ZNF560","ZNF560",0.3372
"COL5A3","COL5A3",497.3959
"SNAP25","SNAP25",7.68305
"KIF16B","KIF16B",469.8031
"DSTN","DSTN",6520.6466
"BANF2","BANF2",0
"CSRP2BP","CSRP2BP",633.31055
"XRN2","XRN2",1903.5897
"NKX2-2","NKX2-2",0.0539
"TGM3","TGM3",2.84065
"ZNF343","ZNF343",245.43385
"DEFB125","DEFB125",0
"ACSS1","ACSS1",647.759
"PYGB","PYGB",2816.77025
"NINL","NINL",202.09665
"CPXM1","CPXM1",166.6681
"XKR7","XKR7",0
"SUN5","SUN5",0
"BPIFB2","BPIFB2",0.0057
"BPIFA3","BPIFA3",0
"BPIFB1","BPIFB1",50.8954
"CBFA2T2","CBFA2T2",610.50955
"TRPC4AP","TRPC4AP",2230.9985
"NFS1","NFS1",532.0297
"DLGAP4","DLGAP4",2079.5597
"RBL1","RBL1",238.68775
"RPN2","RPN2",7145.1799
"SIGLEC1","SIGLEC1",216.4531
"RALGAPB","RALGAPB",1795.532
"PPP1R16B","PPP1R16B",247.8957
"AP5S1","AP5S1",232.52445
"PLCG1","PLCG1",1515.6405
"ZHX3","ZHX3",703.5026
"CHD6","CHD6",1177.40715
"FITM2","FITM2",64.98625
"SERINC3","SERINC3",2182.7801
"SEMG1","SEMG1",0
"SEMG2","SEMG2",0
"SLC12A5","SLC12A5",3.2582
"CDH22","CDH22",0.4527
"SULF2","SULF2",1643.5551
"CSE1L","CSE1L",2437.9562
"KCNB1","KCNB1",1.6929
"SPATA2","SPATA2",446.2325
"CASS4","CASS4",19.50625
"BMP7","BMP7",27.5718
"CTCFL","CTCFL",11.9482
"PCK1","PCK1",0.70705
"ZNF831","ZNF831",28.9202
"C20ORF197","C20ORF197",0.7391
"CHGB","CHGB",10.1376
"LRRN4","LRRN4",1.61475
"CDH4","CDH4",1.9966
"LAMA5","LAMA5",1754.61925
"NTSR1","NTSR1",1.6416
"DIDO1","DIDO1",1506.721
"SLC17A9","SLC17A9",87.05585
"TPD52L2","TPD52L2",3294.96495
"OPRL1","OPRL1",51.36315
"PAK7","PAK7",0.0035
"POTED","POTED",0
"LTN1","LTN1",512.7564
"GRIK1","GRIK1",0.47025
"HUNK","HUNK",50.6396
"SYNJ1","SYNJ1",302.60505
"IFNAR1","IFNAR1",1283.7186
"SON","SON",4845.2044
"ITSN1","ITSN1",629.21915
"CHAF1B","CHAF1B",230.0512
"TTC3","TTC3",3723.0707
"KCNJ6","KCNJ6",0.0053
"KCNJ15","KCNJ15",23.66135
"ERG","ERG",174.3088
"BRWD1","BRWD1",1043.7614
"B3GALT5","B3GALT5",0.81445
"DSCAM","DSCAM",0
"ZBTB21","ZBTB21",370.20465
"UMODL1","UMODL1",0.7948
"TFF3","TFF3",90.83765
"PDE9A","PDE9A",76.7386
"HSF2BP","HSF2BP",17.9202
"RRP1B","RRP1B",806.5707
"DNMT3L","DNMT3L",0
"ADARB1","ADARB1",319.59325
"PCBP3","PCBP3",14.0361
"SPATC1L","SPATC1L",107.7608
"POTEH","POTEH",0
"XKR3","XKR3",0
"MED15","MED15",1906.9825
"HIC2","HIC2",129.7087
"MAPK1","MAPK1",3708.4052
"BCR","BCR",1229.6708
"DRICH1","DRICH1",0.46055
"MMP11","MMP11",558.4121
"SUSD2","SUSD2",147.7564
"GGT5","GGT5",391.80325
"MN1","MN1",73.2557
"NIPSNAP1","NIPSNAP1",1152.46995
"OSM","OSM",23.6108
"SEC14L3","SEC14L3",0
"SEC14L4","SEC14L4",1.90105
"OSBP2","OSBP2",145.8333
"PRR14L","PRR14L",1255.1808
"C22ORF42","C22ORF42",0
"RFPL2","RFPL2",1.12065
"BPIFC","BPIFC",0.14555
"ISX","ISX",0
"HMGXB4","HMGXB4",603.79665
"PVALB","PVALB",1.4646
"DDX17","DDX17",7168.5178
"SUN2","SUN2",3543.5844
"APOBEC3G","APOBEC3G",367.54015
"ENTHD1","ENTHD1",4.44765
"RBX1","RBX1",1008.7631
"POLR3H","POLR3H",959.2535
"TCF20","TCF20",1295.4788
"TTLL1","TTLL1",155.42655
"SCUBE1","SCUBE1",2.6972
"EFCAB6","EFCAB6",7.4174
"SAMM50","SAMM50",1089.0433
"MOV10L1","MOV10L1",1.9168
"PLXNB2","PLXNB2",7422.7492
"PPP6R2","PPP6R2",977.8082
"NCAPH2","NCAPH2",906.6748
"TBC1D8B","TBC1D8B",173.3446
"IRS4","IRS4",0.61565
"KLHL13","KLHL13",28.9791
"TENM1","TENM1",7.9515
"ACTRT1","ACTRT1",0
"SAGE1","SAGE1",0
"GPR112","GPR112",0
"GPR101","GPR101",0
"MAGEC1","MAGEC1",0.2355
"PRRG3","PRRG3",0.33215
"SYAP1","SYAP1",1190.38845
"REPS2","REPS2",209.0293
"PTCHD1","PTCHD1",1.6737
"DCAF8L1","DCAF8L1",0
"MXRA5","MXRA5",1149.3758
"PRKX","PRKX",434.4044
"MAGEB16","MAGEB16",0
"SYTL5","SYTL5",17.15465
"PPP1R3F","PPP1R3F",51.73
"PAGE1","PAGE1",0
"AKAP4","AKAP4",0
"SSX7","SSX7",0
"ITIH6","ITIH6",2.1365
"MAGEH1","MAGEH1",573.9617
"OTUD6A","OTUD6A",0
"MAGEE2","MAGEE2",0.3444
"RPS6KA6","RPS6KA6",0.69785
"TGIF2LX","TGIF2LX",0
"SHROOM2","SHROOM2",528.8624
"CSTF2","CSTF2",343.46695
"SASS6","SASS6",143.92745
"CDC14A","CDC14A",110.21
"VCAM1","VCAM1",436.7423
"S1PR1","S1PR1",305.0847
"OLFM3","OLFM3",0
"FAM102B","FAM102B",538.1123
"C1ORF127","C1ORF127",4.91825
"PSRC1","PSRC1",210.5263
"SYPL2","SYPL2",22.2522
"GSTM2","GSTM2",276.66765
"EPS8L3","EPS8L3",0.2841
"CSF1","CSF1",404.6711
"SLC6A17","SLC6A17",14.9596
"TTLL10","TTLL10",0.2615
"KCNC4","KCNC4",129.4577
"EXOSC10","EXOSC10",1102.3522
"DENND2D","DENND2D",531.6318
"CHI3L2","CHI3L2",64.69
"OVGP1","OVGP1",19.3413
"FAM212B","FAM212B",32.0463
"MTOR","MTOR",1301.7171
"CAPZA1","CAPZA1",2389.26745
"CSDE1","CSDE1",11089.23
"TSPAN2","TSPAN2",47.1501
"SLC22A15","SLC22A15",121.0969
"CD2","CD2",202.6831
"PTGFRN","PTGFRN",1599.39675
"TRIM45","TRIM45",102.2366
"FAM46C","FAM46C",914.2945
"ADAM30","ADAM30",0
"TNFRSF8","TNFRSF8",16.6823
"VPS13D","VPS13D",1323.3275
"AADACL4","AADACL4",0
"AADACL3","AADACL3",0
"PRAMEF12","PRAMEF12",0
"PRAMEF1","PRAMEF1",0
"PRAMEF11","PRAMEF11",0
"PRAMEF2","PRAMEF2",0
"PRAMEF4","PRAMEF4",0
"PRAMEF10","PRAMEF10",0
"PPIAL4G","PPIAL4G",17.1949
"PDE4DIP","PDE4DIP",1672.4352
"NBPF10","NBPF10",379.5314
"RNF115","RNF115",400.29295
"SV2A","SV2A",46.04105
"RPRD2","RPRD2",1386.12915
"CTSS","CTSS",1855.47935
"ARNT","ARNT",1320.43975
"ANXA9","ANXA9",36.34675
"ZNF687","ZNF687",878.1265
"POGZ","POGZ",1475.4885
"TUFT1","TUFT1",676.28
"TDRKH","TDRKH",257.5758
"RORC","RORC",40.9091
"RPTN","RPTN",0
"KPRP","KPRP",0
"LCE6A","LCE6A",0
"IVL","IVL",1.712
"SPRR1A","SPRR1A",0.2853
"LELP1","LELP1",0
"S100A7A","S100A7A",0
"UBAP2L","UBAP2L",3690.4076
"KAZN","KAZN",176.934
"KCNN3","KCNN3",28.3912
"GON4L","GON4L",1129.2316
"ARHGEF2","ARHGEF2",1954.18685
"SMG5","SMG5",2470.54525
"RHBG","RHBG",0.2841
"TTC24","TTC24",2.22025
"BCAN","BCAN",9.2316
"NES","NES",982.6698
"ISG20L2","ISG20L2",755.3971
"PEAR1","PEAR1",105.53085
"FHAD1","FHAD1",18.0177
"FCRL5","FCRL5",51.2864
"FCRL3","FCRL3",11.2867
"CD5L","CD5L",0.6743
"CD1C","CD1C",15.38705
"OR10T2","OR10T2",0
"OR10K1","OR10K1",0
"OR6Y1","OR6Y1",0
"OR10X1","OR10X1",0
"OR6K3","OR6K3",0
"CASP9","CASP9",351.9498
"PYHIN1","PYHIN1",27.3095
"DNAJC16","DNAJC16",570.8446
